step,time_hours,demand,solar,price,soc,battery_flow_mw,emergency_generator_mw,curtail_solar_mw,fcas_reserve_mw,net_grid_power_mw,unmet_demand_mw,overvoltage_mw,step_cost,cum_cost
216,54.0,33.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,631444.4241057083
217,54.25,34.0,1.0,124.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,632756.1741057083
218,54.5,35.0,2.0,128.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,634100.9241057083
219,54.75,36.0,6.0,131.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,635346.0141057082
220,55.0,37.0,10.0,135.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,636493.6041057082
221,55.25,39.0,15.0,139.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,637537.6941057082
222,55.5,40.0,20.0,142.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,638422.8541057082
223,55.75,42.0,28.0,146.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,639056.7141057082
224,56.0,44.0,35.0,150.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,639473.2141057082
225,56.25,45.0,42.0,135.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,639601.0741057082
226,56.5,46.0,48.0,120.0,0.00475,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639626.1641057082
227,56.75,47.0,55.0,105.0,0.02375,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639726.1641057082
228,57.0,48.0,62.0,90.0,0.056999999999999995,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639901.1641057082
229,57.25,48.0,68.0,75.0,0.1045,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640151.1641057082
230,57.5,47.0,74.0,60.0,0.168625,-27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640488.6641057082
231,57.75,46.0,79.0,45.0,0.247,-33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640901.1641057082
232,58.0,46.0,85.0,30.0,0.339625,-39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641388.6641057082
233,58.25,45.0,92.0,20.0,0.45125000000000004,-47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641976.1641057082
234,58.5,44.0,98.0,10.0,0.5700000000000001,-50.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,642551.3241057082
235,58.75,43.0,103.0,0.0,0.6887500000000001,-50.0,0.0,0.0,0.0,-10.0,0.0,0.0,0.0,643051.6841057083
236,59.0,42.0,108.0,-10.0,0.8075000000000001,-50.0,0.0,0.0,0.0,-16.0,0.0,0.0,0.0,643477.0441057082
237,59.25,41.0,112.0,-18.0,0.9262500000000001,-50.0,0.0,0.0,0.0,-21.0,0.0,0.0,0.0,643839.7941057082
238,59.5,40.0,116.0,-25.0,1.0,-31.052631578947317,0.0,0.0,0.0,-44.94736842105269,0.0,0.0,0.0,643671.8446597249
239,59.75,39.0,120.0,-33.0,1.0,0.0,0.0,31.0,0.0,-50.0,0.0,0.0,0.0,643047.0999505835
240,60.0,38.0,124.0,-40.0,1.0,0.0,0.0,36.0,0.0,-50.0,0.0,0.0,0.0,642422.0999505835
241,60.25,38.0,125.0,-43.0,1.0,0.0,0.0,37.0,0.0,-50.0,0.0,0.0,0.0,641797.0999505835
242,60.5,37.0,126.0,-45.0,1.0,0.0,0.0,39.0,0.0,-50.0,0.0,0.0,0.0,641172.0999505835
243,60.75,36.0,124.0,-48.0,1.0,0.0,0.0,38.0,0.0,-50.0,0.0,0.0,0.0,640547.0999505835
244,61.0,36.0,122.0,-50.0,1.0,0.0,0.0,36.0,0.0,-50.0,0.0,0.0,0.0,639922.0999505835
245,61.25,36.0,119.0,-45.0,1.0,0.0,0.0,33.0,0.0,-50.0,0.0,0.0,0.0,639297.0999505835
246,61.5,37.0,116.0,-40.0,1.0,0.0,0.0,29.0,0.0,-50.0,0.0,0.0,0.0,638672.0999505835
247,61.75,38.0,110.0,-35.0,1.0,0.0,0.0,22.0,0.0,-50.0,0.0,0.0,0.0,638047.0999505835
248,62.0,38.0,105.0,-30.0,1.0,0.0,0.0,17.0,0.0,-50.0,0.0,0.0,0.0,637422.0999505835
249,62.25,39.0,100.0,-20.0,1.0,0.0,0.0,11.0,0.0,-50.0,0.0,0.0,0.0,636797.0999505835
250,62.5,40.0,96.0,-10.0,1.0,0.0,0.0,6.0,0.0,-50.0,0.0,0.0,0.0,636172.0999505835
251,62.75,41.0,91.0,0.0,1.0,0.0,0.0,0.0,0.0,-50.0,0.0,0.0,0.0,635547.0999505835
252,63.0,42.0,86.0,10.0,1.0,0.0,0.0,0.0,0.0,-44.0,0.0,0.0,0.0,634997.4599505835
253,63.25,45.0,80.0,28.0,1.0,0.0,0.0,0.0,0.0,-35.0,0.0,0.0,0.0,634560.7699505836
254,63.5,48.0,74.0,45.0,1.0,0.0,0.0,0.0,0.0,-26.0,0.0,0.0,0.0,634236.5799505835
255,63.75,52.0,68.0,62.0,1.0,0.0,0.0,0.0,0.0,-16.0,0.0,0.0,0.0,634037.5799505835
256,64.0,55.0,62.0,80.0,1.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.0,633950.8899505836
257,64.25,62.0,54.0,120.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,634263.1399505836
258,64.5,68.0,46.0,160.0,1.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,635337.5999505835
259,64.75,78.0,38.0,200.0,1.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,637690.8399505835
260,65.0,88.0,30.0,240.0,1.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,641681.5799505835
261,65.25,96.0,24.0,300.0,1.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,647713.5399505836
262,65.5,105.0,18.0,360.0,1.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,656307.0399505836
263,65.75,110.0,12.0,410.0,1.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,667210.7499505836
264,66.0,115.0,7.0,460.0,0.9421052631578948,22.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,678129.6899505835
265,66.25,117.0,4.0,490.0,0.8105263157894738,50.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,687028.7299505835
266,66.5,119.0,1.0,520.0,0.6789473684210527,50.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,697088.9799505835
267,66.75,120.0,0.0,535.0,0.5473684210526317,50.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,707689.0199505836
268,67.0,120.0,0.0,550.0,0.4157894736842107,50.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,718551.5199505836
269,67.25,119.0,0.0,550.0,0.2842105263157897,50.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,729267.7799505836
270,67.5,118.0,0.0,550.0,0.15263157894736865,50.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,739837.7899505836
271,67.75,115.0,0.0,525.0,0.0210526315789476,50.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,749562.8799505836
272,68.0,112.0,0.0,500.0,0.0,8.000000000000089,0.0,0.0,0.0,103.99999999999991,0.0,0.0,0.0,763588.0899505835
273,68.25,107.0,0.0,475.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,779230.6799505836
274,68.5,102.0,0.0,450.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,791598.4299505836
275,68.75,96.0,0.0,425.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,802638.7899505836
276,69.0,90.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,812426.6499505836
277,69.25,84.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,820827.0099505836
278,69.5,78.0,0.0,330.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,827944.8699505836
279,69.75,72.0,0.0,295.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,833885.2299505835
280,70.0,66.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,838753.0899505835
281,70.25,62.0,0.0,238.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,842984.7499505836
282,70.5,57.0,0.0,215.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,846547.4999505836
283,70.75,52.0,0.0,193.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,849511.7499505836
284,71.0,48.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,851971.9099505836
285,71.25,46.0,0.0,163.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,854248.9499505835
286,71.5,44.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,856338.9899505835
287,71.75,41.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,858214.8299505835
